date,vehicle_category,manufacturer,registrations
2023-01-01,2W,AUM ENGINEERING AND WORKS,134.0
2023-01-01,2W,AUTOCROLA INDIA LTD,127.0
2023-01-01,2W,AUTOECO GREEN ENERGY PVT LTD,1286.0
2023-01-01,2W,AUTOHAUS PRIVATE LIMITED,333.0
2023-01-01,2W,AUTOLITE (INDIA) LIMITED,150.0
2023-01-01,2W,AUTOMOBILI LAMBORGHINI S.P.A,273.0
2023-01-01,2W,AVL ELECTRIC VEHICLES PVT LTD,5395.0
2023-01-01,2W,AVON CYCLE LTD INDIA,156.0
2023-01-01,2W,AVON CYCLES LTD,1701.0
2023-01-01,2W,AVTAR ENGINEERING WORKS,158.0
2023-01-01,2W,AWACHAT INDUSTRIES LTD,2093.0
2023-01-01,2W,AYAAN ELECTRONIC PVT LTD,360.0
2023-01-01,2W,B24 ROKET EV,193.0
2023-01-01,2W,BABA E RICKSHAW & C BATTERIES,140.0
2023-01-01,2W,BABA E-VEHICLES,2865.0
2023-01-01,2W,BABA HARI DAS FABRICATION,152.0
2023-01-01,2W,BABA PRODUCT,408.0
2023-01-01,2W,BABAJI ENGINEERING TRAILOR WORKS,153.0
2023-01-01,2W,BAGHWAN RIKSHAW UDYOG,223.0
2023-01-01,2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),152.0
2023-01-01,2W,BAJAJ AUTO LTD,4838337.0
2023-01-01,2W,BAJAJ IMPLEMENTS PVT. LTD,2040.0
2023-01-01,2W,BAL AGRO INDUSTRIES,149.0
2023-01-01,2W,BAL GOPAL WHEELS PVT LTD,364.0
2023-01-01,2W,BALAJEE ENGINEERING,150.0
2023-01-01,2W,BALAJI AGRO INDUSTRIES,249.0
2023-01-01,2W,BALAJI ENGINEERING,152.0
2023-01-01,2W,BALAJI TRADING COMPANY,165.0
2023-01-01,2W,BALAN ENGINEERING PVT LTD,444.0
2023-01-01,2W,BALBIR INDUSTRIES,165.0
2023-01-01,2W,BALI AUTO INDUSTRIES,703.0
2023-01-01,2W,BALJEET ENGG. WORKS,162.0
2023-01-01,2W,BALJEET KRISHI YANTRA,161.0
2023-01-01,2W,BANKU BODY BUILDER,188.0
2023-01-01,2W,BANSAL AGRICULTURE IMPLEMENTS,163.0
2023-01-01,2W,"BASUDEB ENGINEERING, CUTTACK",206.0
2023-01-01,2W,BATTRE ELECTRIC MOBLITY PVT LTD,8439.0
2023-01-01,2W,"BAUTI ENGINEERING,NAYAGARH",182.0
2023-01-01,2W,BAXY LTD,943.0
2023-01-01,2W,BEML LIMITED,186.0
2023-01-01,2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,6175.0
2023-01-01,2W,BENTINCK INDUSTRIES PVT. LTD.,930.0
2023-01-01,2W,BENTLEY MOTORS LIMITED,289.0
2023-01-01,2W,BEST WAY AGENCIES PVT LTD,15972.0
2023-01-01,2W,BESTWAY AGENCIES PVT LTD,261.0
2023-01-01,2W,BESTWAY BANARASH,194.0
2023-01-01,2W,BGAUSS AUTO PRIVATE LIMITED,23079.0
2023-01-01,2W,BHADAURIA ENTERPRISES,384.0
2023-01-01,2W,BHAGWAN AGRO INDUSTRIES,283.0
2023-01-01,2W,BHAGYALAXMI TRAILER,180.0
2023-01-01,2W,BHARAT MANUFACTURING & ASSEMBLING E RIKSHA,181.0
2023-01-01,2W,BHARATH AGRO PRODUCTS,187.0
2023-01-01,2W,BHARATH ENGINEERING WORKS,178.0
2023-01-01,2W,BHAVE ELECTRIC VEHICLES PVT LTD,5540.0
2023-01-01,2W,BHM INDUSTRIES,3807.0
2023-01-01,2W,BHOGAL COMBINE SPARE PARTS,248.0
2023-01-01,2W,BHOYAR AGRO IND WARDHA,317.0
2023-01-01,2W,BIDISHA ENTERPRISES PVT LTD,202.0
2023-01-01,2W,BIG BULL TRADER PVT LTD,1529.0
2023-01-01,2W,BIJNOR ENTERPRISES,328.0
2023-01-01,2W,BLACK PEARL AUTOMOTIVE SOLUTIONS PVT LTD,187.0
2023-01-01,2W,BLIX CYCLES AND E-VEHICLES PVT LTD,316.0
2023-01-01,2W,BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,675.0
2023-01-01,2W,BMW INDIA PVT LTD,40718.0
2023-01-01,2W,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,603.0
2023-01-01,2W,BOUNCE ELECTRIC 1 PVT LTD,7320.0
2023-01-01,2W,BRIGHT AUTOZONE PVT LTD,7581.0
2023-01-01,2W,BRIGHT METAL WORKS,254.0
2023-01-01,2W,BSA MOTORS,247.0
2023-01-01,2W,BSMS AGRICULTURE WORKSHOP,308.0
2023-01-01,2W,BUCHER MUNICIPAL (IMPORTER: PAMTEC ENVIRO),213.0
2023-01-01,2W,BULL MACHINES PVT LTD,2036.0
2023-01-01,2W,BYD AUTO,205.0
2023-01-01,2W,BYD INDIA PRIVATE LIMITED,4754.0
2023-01-01,2W,C M OVERSEAS,326.0
2023-01-01,2W,CAPITAL AUTO INDUSTRIES,4077.0
2023-01-01,2W,CAPTAIN TRACTORS PVT. LTD.,8322.0
2023-01-01,2W,CARREE YUNUS VEHICLE PVT LTD,207.0
2023-01-01,2W,CART INDIA,420.0
2023-01-01,2W,CASE EQUIPMENT PRIVATE LTD,215.0
2023-01-01,2W,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,3748.0
2023-01-01,2W,CATERPILLAR INDIA PRIVATE LIMITED,3983.0
2023-01-01,2W,CEEON INDIA,1954.0
2023-01-01,2W,CHAANY AGRO INDUSTRIES,223.0
2023-01-01,2W,CHAMPION POLY PLAST,29966.0
2023-01-01,2W,CHANDANA CORPORATION,1211.0
2023-01-01,2W,CHANNY AGRO INDUSTRIES,240.0
2023-01-01,2W,CHARUVIKRAM AUTOMOBILE PVT LTD,223.0
2023-01-01,2W,CHAUHAN AUTO INDUSTRIES,1354.0
2023-01-01,2W,CHEHAK BATTERIES,793.0
2023-01-01,2W,CHETAK TECHNOLOGY LIMITED,9918.0
2023-01-01,2W,CHEVROLET SALES INDIA PVT LTD,217.0
2023-01-01,2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),488.0
2023-01-01,2W,CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,221.0
2023-01-01,2W,CHRYSLER MOTORS PVT LTD,222.0
2023-01-01,2W,CIMMCO LIMITED,221.0
2023-01-01,2W,CITADEL ENTERPRISES(OPC) PVT LTD,276.0
2023-01-01,2W,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,2081.0
2023-01-01,2W,CIVIMEC ENGINEERING PVT LTD,234.0
2023-01-01,2W,CLAAS AGRICULTURAL MACHINERY PVT LTD,225.0
2023-01-01,2W,CLAAS INDIA P LTD,404.0
2023-01-01,2W,CLASSIC LEGENDS PVT LTD,66517.0
2023-01-01,2W,CNH INDUSTRIAL (INDIA) PVT LTD,70857.0
2023-01-01,2W,CONMAT HEAVY INDUSTRIES PVT LTD,450.0
2023-01-01,2W,CONTINENTAL ENGINES PVT LTD,10579.0
2023-01-01,2W,CRANE KRAFT INDIA PRIVATE LIMITED,498.0
2023-01-01,2W,CREATIVE ENGINEERINGS,233.0
2023-01-01,2W,CYRUS AUTO INDUSTRIES PVT LTD,424.0
2023-01-01,2W,D K DIESELS PVT LTD,285.0
2023-01-01,2W,D S INDUSTRIES,344.0
2023-01-01,2W,DAIMLER AG,241.0
